序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
47,0x3004d60549269ff6e2274a2ac40e430c5291331b,0x4cdec601e365a77ca097500fab6a6d45a94ace422c875ed9a82de6ec9f3094db,2.00,12000.0,6000.0,
48,0xd862cfe64410283236cc529e085c12ea6ec60607,0xbee8c174d19107234e1bece03cf76fef3b93ac710925007adcc06baa1cf9c129,50.00,300000.0,6000.0,
49,0xc1c772880d009d24c8098b8a2b4c91312966425d,0x2a9fc0bbece62acc516cdc2f5f10acd87557d425843df4d97211ae2ba1ee8b97,2.00,12000.0,6000.0,
50,0xe4ac2578fd18a7299aa59182865c43a716ef5150,0x86b178e54ad1b19f699e4edb49344e1da1e613df2f61f7ea07e2bc36034dacf0,4.50,27000.0,6000.0,
51,0x92bbb7696c9389173564534016fbf9ab4b8271b1,0x48c1fef3a473aa3fcae3d3599dae190b2b53622b52654ba57d06e38598dc63b1,1.00,6000.0,6000.0,
52,0x71203f34c020adfc3cda3e688d65887cde039d8e,0x02eaed490a945d1f2931159124eaaca79b2d9cf12ad1d72ccde015dcdec0aa93,2.00,12000.0,6000.0,
53,0x438f5e47595eb8ac0e6c4e70ba56048b4ed40c64,0x1c674c2814f251c848ca45608a6adecdf51f19e96e47d38acd8439848575c548,1.95,11700.0,6000.0,
54,0x4ab6ae97348526180101f3cbf7aabbffaf743267,0x5e9561a4187044193dc0060b525550a1f68c75c8f16c3059123ed83ed248b0e7,0.20,1200.0,6000.0,
55,0xe14d06f75623a7c48c9b708c188a8411aa91f35f,0xdcd374f8895493ad2ed6b5e4c039ad6ee2d3cff02b6dfa130779c8d403510dc5,10.00,60000.0,6000.0,
56,0x55c658ceaff437f6c4a6a48bdd6489dda50780de,0x1db3afbca756a8a88cf975373f1faa9fc477b88118ea1312c4bd8ddd3e59bffc,1.18,7080.0,6000.0,
57,0x0f100510ab8afed3a474953a8e99b3bb449332df,0x872d437cd69587869e2f4de23e24b061e67833fad412dd1762421a93a11c7444,3.00,18000.0,6000.0,
58,0x20b7fcfde441daef85b304adbaa50cd1740ad3ae,0x3c266c8ca47825444239519bb22459399387485abb191db6d1c3bc086afa7cbb,1.00,6000.0,6000.0,
59,0x5d62af68ff247a181b124310c07b004f49981776,0x4704525cb0c7628e763a2320d137c86823f52609e8918ae22d85c9c2ba1fdd76,20.00,120000.0,6000.0,
60,0xc900e526093b5598cda891460d7913eb1a90754d,0x429597b223af6a9fe04155922409b17fd4041e2d5571494ada32d8188ca0a1d2,7.00,42000.0,6000.0,
61,0x5d92271c4a1d3a5083ce0a063651e3e13825a814,0xe117a951de1f8728703a4b2e6c927c69560b32bdf62451f75836a21125630e4a,20.00,120000.0,6000.0,
62,0x2eb1ffd679f8b2f11f1c071e00b265685323afde,0x83ac4239021a78fb1e084cd3cd7f828032249c2138f5337323f211ebcdfe90f0,3.28,19680.0,6000.0,
63,0xead71beb50e36e45547b248246365917cf91fc6a,0x8d8a3cf873eafa9b1f7edf00460299e35192a01935e49b91e83b451c53f1dd01,5.00,30000.0,6000.0,
64,0x8d60b70c188bc3dcac68cda765f069cd19ed2cba,0xa387b7b9b6c0c1666702954071ad29c52a97a2a39e813f5782e4a98d3ff6e9cd,80.00,480000.0,6000.0,
65,0x5e89d5d97c9a36508c7f95e3a840e5185c1e8a2e,0xbfdfbf62b44fad2858fa8e4364888b8f2bfa23be95ed74f68d00b6e8b048cfe6,0.15,900.0,6000.0,
66,0x755e4721605cdd9925ebb4822adda9e8922061ed,0xbff43bc4631deedfb9fb2a1b3b05af3f98e9bb6d9ce453fd99d0beb20babd4b1,8.00,48000.0,6000.0,
67,0x6bf677c4b8c6971dc46852e513f452e5d52976a9,0xd35851d670a939b8c2cd917931564334e395179f1a29d75dbe8095778e606f1e,1.00,6000.0,6000.0,
68,0x40f7d0e8d92b4a3c1507f911a21d8ec7a69ee416,0xc411d778310ad04e5e9fa6a8288f316298e1d7e6345eeb9d30f29d63f68e5c3d,2.00,12000.0,6000.0,
69,0x3c88e4b1cd02b7ad7ab733321bed6e69c791ce20,0xed14207a33e28974b059cc9eef215ece3935371b57a999d80cf18c8bf7ad036f,1.20,7200.0,6000.0,
70,0xff7a9c981a23d29f9858346e19288d8d959f9659,0xff2c4e6ee74035be4ab040abc342b68454e715ff183151f06d6f23a7bac9fea5,510.70,3064200.0,6000.0,
71,0x807409e0a7937c90d94375735e554b186e0ca43e,0x015382d28f5ec3964df6c4a066ef950cbc36944e5a0f8c559f2b46ed1c702cb7,2.20,13200.0,6000.0,
72,0x0e515750091011acca4faea785d51a67df20aa0b,0x01f036565c9e69778f940511c2a6bd7e502d42fb894a51a2c792617a0b82bc97,1.61,9660.0,6000.0,
73,0xba4496990fdfaa511f7e74fbf79a91e6fa323d39,0x026c5fe69f83a75809a8abb190a00e96a20c15a401295720b3c84a0cf624157b,7.50,45000.0,6000.0,
74,0x87f6bb46f2d14b7837c1d5090be7078e705fff37,0x02eacdc30eb998ea5fe2abe4155b8c0c45ff515b97d50e578e672d4b1ca45b6a,5.00,30000.0,6000.0,
75,0x041c26ac5bdb5df3dcdb63e4d2a56c1358da8e60,0x02f6c35acc122f1f7392776f82a76bbb0064bc871df9a7d52e8359b97f45949e,5.00,30000.0,6000.0,
76,0xdccfec660b0ed52f88d8b294873d5cc181e58722,0x0445648c4e26b512621f13adbe888bd02468281f232aba03ac8b7b2673ee4b99,3.00,18000.0,6000.0,
77,0xa39c5d3e133841df82caf0ac245007f15906898e,0x069f3a12006d7e9aacbcdd7ed00a21306951d92b626f8366206f1e5cbf5d868e,6.00,36000.0,6000.0,
78,0x2af0952b2d00f5a9c32e0b53aa59afe148a11a3f,0x06ed4ab13a0179de94286e41dbf11114b93afd8624ce4cd023e1b0795f7c43bd,15.00,90000.0,6000.0,
79,0x6270c5da71134f2f5e63e41d22ccccbc8ef5f3c9,0x0756e3a2c130d37835518f2660897855722e45206f0ffe2d0917519525548903,1.00,6000.0,6000.0,
80,0x0519064e3216cf6d6643cc65db1c39c20abe50e0,0x07ff6031325e9902ff523558ebb4f625065105c75c12e24b57e626c83331de77,0.35,2092.9,6000.0,
81,0x18d601be543301aec3ea0095e5c1879bc9b4b5dc,0x0848d59bfbe928a1a2a1fec12bcef16477583dcb3c9ada3794d524d395d5b88d,0.98,5880.0,6000.0,
82,0x01fc3a5a0455d7b010dd65b6b2b8edfff7db7a42,0x0c3c414d0613c91bfbb91357060e1092cac15416ab3dc59c9df26d7537eadfa9,3.40,20400.0,6000.0,
83,0xc49ff3efc42847a939368bc1a0c78bdb2584d4f8,0x0d6175bd0bbeabce81fe4943ce597c5a5e60df09de52a8f5271455bb8bcf1bce,6.00,36000.0,6000.0,
